measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Savile_14_measure_1,manuscript_8811,MS_Savile_14,MS. Savile 14,Savile,,MS_Savile_14,,ii + 180 leaves 8.375 6.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_22_measure_1,manuscript_8819,MS_Savile_22,MS. Savile 22,Savile,,MS_Savile_22,,Tables are ruled in red,,225,225,225,165,165,165,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_3_measure_1,manuscript_8822,MS_Savile_3,MS. Savile 3,Savile,,MS_Savile_3,,ii + 674 13 9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_35_measure_1,manuscript_8823,MS_Savile_35,MS. Savile 35,Savile,,MS_Savile_35,,30 leaves 7.5 4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_36_measure_1,manuscript_8824,MS_Savile_36,MS. Savile 36,Savile,,MS_Savile_36,,"Fols. 1r-12r: 2 cols., c. 50 lines.",,270,270,270,195,195,195,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,210,210,130,130,130,mm,,
MS_Savile_36_measure_2,manuscript_8824,MS_Savile_36,MS. Savile 36,Savile,,MS_Savile_36,,"Fols. 13r-144v: 1 col., 44 lines",,270,270,270,195,195,195,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,210,210,130,130,130,mm,,
MS_Savile_38_measure_1,manuscript_8825,MS_Savile_38,MS. Savile 38,Savile,,MS_Savile_38,,iii + 35 leaves 13.5 9.8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_39_measure_1,manuscript_8826,MS_Savile_39,MS. Savile 39,Savile,,MS_Savile_39,,"2 cols., 58 lines, column space 235 70",,290,290,290,205,205,205,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_4_measure_1,manuscript_8827,MS_Savile_4,MS. Savile 4,Savile,,MS_Savile_4,,ii + 92 13.25 9.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_5_measure_1,manuscript_8829,MS_Savile_5,MS. Savile 5,Savile,,MS_Savile_5,,iii + 196 12.125 9.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_55_measure_8,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55-partG,,"Frame-ruled in plummet for 2 columns of about 37 lines. Ruled space c. , c. 25 mm. between columns 180-5 130",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,37,37,37,,,,,,,,,,,180-5,185,180,130,130,130,mm,,
MS_Savile_55_measure_6,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55-partE,,Frame-ruled in plummet for two columns of c. 35-9 lines. Ruled space c. with c. 25 mm. between columns.180 130,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,35 39,39,35,,,,,,,,,,,180,180,180,130,130,130,mm,,
MS_Savile_55_measure_3,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55-partB,,"Ruled in red-brown plummet for two columns of 36–37 lines. Ruled space c. , c. 25mm. between columns. 175 130",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,36 37,37,36,,,,,,,,,,,175,175,175,130,130,130,mm,,
MS_Savile_55_measure_1,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55,,ii + 110 (30 + + ii 285 205,,285,285,285,205,205,205,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Savile_55_measure_5,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55-partD,,Written in a single column of 36–48 lines; frame-ruled faintly with plummet (?). Ruled space 210 145,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,36 48,48,36,,,,,,,,,,,210,210,210,145,145,145,mm,,
MS_Savile_55_measure_4,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55-partC,,"Frame-ruled in grey plummet for two columns of c.37 lines. Ruled space c. , 20-25 mm. between columns. 180 130",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,37,37,37,,,,,,,,,,,180,180,180,130,130,130,mm,,
MS_Savile_55_measure_7,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55-partF,,"Frame-ruled in plummet for 2 columns of about 37 lines. Ruled space c. , c. 25 mm. between columns 180 130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,130,130,130,mm,,
