metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
_deco_1,manuscript_1,,,MS Add. 3303(3),manuscript,,MS-ADD-03303-00003,,"Two large miniatures: The style of decoration suggests that it was made at the very end of the 14th century or at the very beginning of the 15th century, perhaps in London. The style of hair and beady eyes of the two figures may be a late reflection of the Westminster style of the Litlyngton Missal (ex inf. Nicholas Rogers and Lynda Dennison). Vein Man: drawing in black, with lines drawn in red ink connecting the locations of key veins with relevant captions. Zodiac Man: in an arrow-shaped field, a painted figure in ?oxidised silver or dark pigment, bearing the emblems of the zodiac on various parts of his body, on a checkered ground in red and green, with an illuminated border. Vein Man: drawing in black, with lines drawn in red ink connecting the locations of key veins with relevant captions.Vein ManZodiac Man: in an arrow-shaped field, a painted figure in ?oxidised silver or dark pigment, bearing the emblems of the zodiac on various parts of his body, on a checkered ground in red and green, with an illuminated border. Zodiac Man",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Kk.6.30",part,,,,"Alchemical drawings in brown ink, showing: alchemical furnaces and vessels on f. 11v; furnaces on ff. 17r, 17v, 19v, and 39r; alchemical vessels on ff. 26v, 28r [with a heart], 31r, and 34r; and vessels with a distillation setup on f. 28v; and a list of alchemical symbols on f. 38v.",drawing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Dd.6.9",manuscript,,MS-DD-00006-00009,,The manuscript does not contain any significant forms of decoration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,,"Plain initials in green, red or blue.",colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Add. 2994",part,,,,"Decorative embellishment for the opening initial and ascenders on the top line of most leaves ff. 1-68, and occasonally for the topmost lines on a leaf, and the opening lines of subdivisions of the texts thereafter.",other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,MS Gg.6.42,part,,,,f. : standing figure with the note Ennon proprium est nomen hominis,miniature,9r,9r,9r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-II-00002-00004,,Titles are in metallic red in the script and hand of the text.,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Dd.8.12",part,,,,"Flourished initials (blue initial, red pen-flourishing) 3-5 lines high at the opening of each new textual item, e.g., f. 3r.",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.5",manuscript,,MS-DD-00005-00005,,"The column miniatures, decorated borders, marginal grotesques and bas-de-page scenes have been identified as the work of a single artist, known as (a diminutive form of Matthieu), a professional illuminator who worked in Paris during the second quarter of the fourteenth century, in the circle of 'Mahiet' Mahiet (French illuminator, 14th century) .Jean PucellePucelle, Jean, active 1320'Mahiet'Mahiet (French illuminator, 14th century)Jean PucellePucelle, Jean, active 1320",,,,,,,,,,,,,,,,,,,,,,,,,"'Mahiet'; Mahiet (French illuminator, 14th century); Jean Pucelle; Pucelle, Jean, active 1320",,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Add. 5368",manuscript,,MS-ADD-05368,,Single-colour initial with minor penwork flourishing in the 'Arabesque' style at the opening of the text on f. 5r.,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Ff.6.51",part,,,,Partial (one-sided) border of blue and red penwork on f. 4r.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
