metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
_origin_1,manuscript_76564,,,"Cambridge, Christ's College, MS 29.2.3",manuscript,,MS-CHRISTS-00029-00002-00003,"the priest Ioannes Ioannes, priest Damascus 1652/3 f. 94v",,f. 94v,94v,94v,1652/3,,1652-09,1653-08,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11806,,,"Cambridge, Christ's College, MS Rouse
                            252",manuscript-composite,,MS-CHRISTS-COLLEGE-ROUSE-00252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11806,,,"Cambridge, Christ's College, MS Rouse
                            252",part,,,16th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_11806,,,"Cambridge, Christ's College, MS Rouse
                            252",part,,,in the years around 1550,,,,,in the years around 1550,,1540,1560,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11807,,,"Cambridge, Christ's College, MS Rouse 253",manuscript,,MS-CHRISTS-COLLEGE-ROUSE-00253,second half of the 16th or 17th century,,,,,"second half of
                                the 16th or 17th century",,1550,1699,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11808,,,"Cambridge, Christ's College, MS Rouse 254",manuscript,,MS-CHRISTS-COLLEGE-ROUSE-00254,last third of the 16th century MS Rouse 255,,,,,"last third of
                                the 16th century",,1565,1599,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Rouse 255,,,
_origin_1,manuscript_11809,,,"Cambridge, Christ's College, MS Rouse
                            255",manuscript-composite,,MS-CHRISTS-COLLEGE-ROUSE-00255,the late 16th century,,,,,"the late 16th
                                century",,1570,1600,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11809,,,"Cambridge, Christ's College, MS Rouse
                            255",part,,,the late 16th century,,,,,"the late 16th
                                century",,1570,1600,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_11809,,,"Cambridge, Christ's College, MS Rouse
                            255",part,,,the late 16th century,,,,,"the late 16th
                                century",,1570,1600,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11811,,,"Cambridge, Christ's College, MS Rouse 262",manuscript-composite,,MS-CHRISTS-COLLEGE-ROUSE-00262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
