metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
_measure_6,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",part,,,,,,,,,,,,,,,,,,,,,,211.0,211.0,211.0,158.0,158.0,158.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,32 43,43.0,32.0,187-200,200.0,187.0,125.0,125.0,125.0,mm,,,,,,,,,,,,
_measure_7,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",part,,,,,,,,,,,,,,,,,,,,,,203.0,203.0,203.0,158.0,158.0,158.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,31 50,50.0,31.0,167-192,192.0,167.0,120-130,130.0,120.0,mm,,,,,,,,,,,,
_measure_8,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",part,,,,,,,,,,,,,,,,,,,,,,203.0,203.0,203.0,158.0,158.0,158.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,27 34,34.0,27.0,170-182,182.0,170.0,130.0,130.0,130.0,mm,,,,,,,,,,,,
_measure_1,manuscript_12019,,,"Cambridge, Trinity College, MS O.8.11",manuscript,,MS-TRINITY-O-00008-00011,Codex iii + 99 + i 205 145,99.0,,4.0,,,,,,,,,,,,,,,,205.0,205.0,205.0,145.0,145.0,145.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,31 32,32.0,31.0,133.0,133.0,133.0,85.0,85.0,85.0,mm,,,,,,,,,,,,
_measure_1,manuscript_12020,,,"Cambridge, Trinity College, MS O.8.12",manuscript-composite,,MS-TRINITY-O-00008-00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_2,manuscript_12020,,,"Cambridge, Trinity College, MS O.8.12",manuscript-composite,,MS-TRINITY-O-00008-00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_12020,,,"Cambridge, Trinity College, MS O.8.12",part,,,,,,,,,,,,,,,,,,,,,,216.0,216.0,216.0,163.0,163.0,163.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,18 23,23.0,18.0,178-190,190.0,178.0,135.0,135.0,135.0,mm,,,,,,,,,,,,
_measure_4,manuscript_12020,,,"Cambridge, Trinity College, MS O.8.12",part,,,,,,,,,,,,,,,,,,,,,,199.0,199.0,199.0,153.0,153.0,153.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,31 39,39.0,31.0,166-183,183.0,166.0,100-125,125.0,100.0,mm,,,,,,,,,,,,
_measure_5,manuscript_12020,,,"Cambridge, Trinity College, MS O.8.12",part,,,,,,,,,,,,,,,,,,,,,,198.0,198.0,198.0,151.0,151.0,151.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,46.0,46.0,46.0,177.0,177.0,177.0,110.0,110.0,110.0,mm,,,,,,,,,,,,
_measure_1,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",manuscript-composite,,MS-TRINITY-COLLEGE-O-00008-00031,Codex: ii + 3 | 112 | 14 | 36 | 14 | 21 | 2 + i leaves. 210 145,197.0,5.0,3.0,,,,,,,,,,,,,,,,210.0,210.0,210.0,145.0,145.0,145.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
