measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,layout or extent,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Don_d_85_measure_2,manuscript_4463,MS_Don_d_85,MS. Don. d. 85,Don,,MS_Don_d_85,,tei:layout,"Ruled in ink, with 24 lines per page, with double vertical bounding line.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,,,,,,,,,
MS_Don_d_85_measure_1,manuscript_4463,MS_Don_d_85,MS. Don. d. 85,Don,,MS_Don_d_85,,tei:extent,ii (paper) + 130 + iii (paper). 241–2 162–4,,241–2,242,241,162–4,164,162,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mm,,
MS_Don_e_120_measure_2,manuscript_4464,MS_Don_e_120,MS. Don. e. 120,Don,,MS_Don_e_120,,tei:layout,"Ruled as far as fol. 21v in pale red ink, with single vertical bounding lines, the top and bottom horizontal line extending to the gutter edge only; ruled thereafter in pale brown ink, between single vertical bounding lines, the top and bottom horizontal line extending the full width of the page. 21 lines of text per per page.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,,,,,,,,,,,,,,,,,,,
MS_Don_e_120_measure_1,manuscript_4464,MS_Don_e_120,MS. Don. e. 120,Don,,MS_Don_e_120,,tei:extent,1 pastedown and 85 further parchment leaves; at least a further 12 leaves bearing text have been excised 200 140 116–8 76–8,,200,200,200,140,140,140,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116–8,118,116,76–8,78,76,mm,,
MS_Don_e_128_measure_1,manuscript_4465,MS_Don_e_128,MS. Don. e. 128,Don,,MS_Don_e_128,,tei:extent,"ii (paper) + I (original parchment) + 256 + I (original(?) parchment), + iii (paper). 175 120 120 80",,175,175,175,120,120,120,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,80,80,80,mm,,
MS_Don_e_128_measure_2,manuscript_4465,MS_Don_e_128,MS. Don. e. 128,Don,,MS_Don_e_128,,tei:layout,Frame ruled in brown crayon. 20 or 21 lines of text per page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 21,21,20,,,,,,,,,,,,,,,,,,,
MS_Don_e_201_measure_1,manuscript_4466,MS_Don_e_201,MS. Don. e. 201,Don,,MS_Don_e_201,,tei:extent,129 leaves. 190 130 105 70,,190,190,190,130,130,130,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,105,105,70,70,70,mm,,
MS_Don_e_201_measure_2,manuscript_4466,MS_Don_e_201,MS. Don. e. 201,Don,,MS_Don_e_201,,tei:layout,"Ruled in purple-red ink with 18 lines (17 lines on fols. 123–128) per page, the top and bottom line extending the full width of the page, with single vertical bounding-lines extending the full height of the page. Up to 17 lines of text per page",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 18,18,17,,,,,,,,,
MS_Don_e_247_measure_2,manuscript_4467,MS_Don_e_247,MS. Don. e. 247,Don,,MS_Don_e_247,,tei:layout,In 23 long lines to the page; writing area 130 80-5,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,23,23,23,130,130,130,80-5,85,80,mm,,,,,,,,,,,,
MS_Don_e_247_measure_1,manuscript_4467,MS_Don_e_247,MS. Don. e. 247,Don,,MS_Don_e_247,,tei:extent,102 leaves 170 125,,170,170,170,125,125,125,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Don_e_248_measure_2,manuscript_4468,MS_Don_e_248,MS. Don. e. 248,Don,,MS_Don_e_248,,tei:layout,"Ruled in ink with the top, third, penultimate and bottom horizontal rules full across on some folios, single full-length vertical bounding lines. Written space Written below the top line in thirteen long lines.66 48–50",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,13,13,13,66,66,66,48–50,50,48,mm,,,,,,,,,,,,
MS_Don_e_248_measure_1,manuscript_4468,MS_Don_e_248,MS. Don. e. 248,Don,,MS_Don_e_248,,tei:extent,284 folios 105 78,,105,105,105,78,78,78,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Don_f_30_measure_1,manuscript_4469,MS_Don_f_30,MS. Don. f. 30,Don,,MS_Don_f_30,,tei:extent,139 leaves (plus 2 original pastedowns). 155 110,,155,155,155,110,110,110,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mm,,
MS_Don_f_30_measure_2,manuscript_4469,MS_Don_f_30,MS. Don. f. 30,Don,,MS_Don_f_30,,tei:layout,"Ruled in pale brown ink with 20 lines, between single vertical bounding lines extending the full height of the page. 19 lines of text per page, below top line.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,,,,,,,,20,20,20,,,,,,,,,
MS_Don_f_33_measure_1,manuscript_4470,MS_Don_f_33,MS. Don. f. 33,Don,,MS_Don_f_33,,tei:extent,"i (a pasted-in cutting from a bookseller's catalogue) + ii (lifted pastedown, and flyleaf) + 88 (the last two leaves pasted together). 120 85 58–9 37–9",, 120, 120, 120,85,85,85,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58–9,59,58,37–9,39,37,mm,,
MS_Don_f_33_measure_2,manuscript_4470,MS_Don_f_33,MS. Don. f. 33,Don,,MS_Don_f_33,,tei:layout,"Ruled in pale red ink with 16 lines (18 in the Calendar), between single vertical bounding lines extending the full height of the page; the top and bottom horizontal ruled the full width of the page; no prickings visible. 15 lines of text per page (17 in the Calendar).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 17,17,15,,,,,,,,16 18,18,16,,,,,,,,,
MSS_Douce_219–20_measure_4,manuscript_4473,MSS_Douce_219–20,MSS. Douce 219-20,Douce,,,,tei:extent,"iii (160a-c) + 125 (160d, 160-283) + iii (284-6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Douce_219–20_measure_1,manuscript_4473,MSS_Douce_219–20,MSS. Douce 219-20,Douce,,MSS_Douce_219-20,,tei:extent,iii + 293 (i.e. iii + 159 + iii + iii + 125 + iii) 137 95 60 42,,137,137,137,95,95,95,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,42,42,42,mm,,
MSS_Douce_219–20_measure_2,manuscript_4473,MSS_Douce_219–20,MSS. Douce 219-20,Douce,,MSS_Douce_219-20,,tei:layout,14 long lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,14,14,14,,,,,,,,,,,,,,,,,,,
MSS_Douce_219–20_measure_3,manuscript_4473,MSS_Douce_219–20,MSS. Douce 219-20,Douce,,,,tei:extent,iii + 159 + iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Douce_5–6_measure_1,manuscript_4476,MSS_Douce_5–6,MSS. Douce 5-6,Douce,,MSS_Douce_5-6,,tei:extent,"232 + 215 leaves c. 87 62 Leaves were trimmed in rebinding, causing the loss of decoration on most leaves.",,87,87,87,62,62,62,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSS_Douce_5–6_measure_2,manuscript_4476,MSS_Douce_5–6,MSS. Douce 5-6,Douce,,MSS_Douce_5-6,,tei:layout,Ruled in pale brown ink with single vertical and horizontal bounding lines extending the full height and width of page; written below the top line; 13 lines per page; written space: c. 52 38,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,13,13,13,52,52,52,38,38,38,mm,,,,,,,,,,,ink,
MS_Douce_1_measure_1,manuscript_4477,MS_Douce_1,MS. Douce 1,Douce,,MS_Douce_1,,tei:extent,i + 82 + i 70 50,,70,70,70,50,50,50,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_1_measure_2,manuscript_4477,MS_Douce_1,MS. Douce 1,Douce,,MS_Douce_1,,tei:layout,One column of 12 or 13 lines except where there are illustrations. Written space Ruled in red ink.51 35,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,12 13,13,12,51,51,51,35,35,35,mm,,,,,,,,,,,,
MS_Douce_10_measure_1,manuscript_4478,MS_Douce_10,MS. Douce 10,Douce,,MS_Douce_10,,tei:extent,"v +315 + iii fols. (foliated 1-28, I-CCC) 99 65",,99,99,99,65,65,65,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_10_measure_2,manuscript_4478,MS_Douce_10,MS. Douce 10,Douce,,MS_Douce_10,,tei:layout,"1 col., 18 lines, 75 43",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,18,18,18,75,75,75,43,43,43,mm,,,,,,,,,,,,
MS_Douce_100_measure_1,manuscript_4479,MS_Douce_100,MS. Douce 100,Douce,,MS_Douce_100,,tei:extent,i + 107 leaves 8.756,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_101_measure_1,manuscript_4480,MS_Douce_101,MS. Douce 101,Douce,,MS_Douce_101,,tei:extent,iv + 93 leaves 8.756.125,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_102_measure_1,manuscript_4481,MS_Douce_102,MS. Douce 102,Douce,,MS_Douce_102,,tei:extent,iii + 171 leaves 8.75 6.375 210 150 92 65,171,210,210,210,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,92,65,65,65,mm,,,,,,,,,,,,
MS_Douce_102_measure_2,manuscript_4481,MS_Douce_102,MS. Douce 102,Douce,,MS_Douce_102,,tei:layout,12 long lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,,,
MS_Douce_104_measure_2,manuscript_4483,MS_Douce_104,MS. Douce 104,Douce,,MS_Douce_104,,tei:layout,"Frame ruled in ink; no line ruling. Written in 32–36 long lines, ruled space 175–85 115",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,32 36,36,32,,,,,,,,,,,175–85,175–85,175–85,115,115,115,mm,,
MS_Douce_104_measure_1,manuscript_4483,MS_Douce_104,MS. Douce 104,Douce,,MS_Douce_104,,tei:extent,112 leaves 217 148,,217,217,217,148,148,148,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_107_measure_1,manuscript_4484,MS_Douce_107,MS. Douce 107,Douce,,MS_Douce_107,,tei:extent,ii + 87 leaves 8.756,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_108_measure_1,manuscript_4485,MS_Douce_108,MS. Douce 108,Douce,,MS_Douce_108,,tei:extent,iv + 358 pages 8.756.125,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_109_measure_1,manuscript_4486,MS_Douce_109,MS. Douce 109,Douce,,MS_Douce_109,,tei:extent,v + 76 leaves 8.8756,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_11_measure_2,manuscript_4487,MS_Douce_11,MS. Douce 11,Douce,,MS_Douce_11,,tei:layout,13 long lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,13,13,13,,,,,,,,,,,,,,,,,,,
MS_Douce_11_measure_1,manuscript_4487,MS_Douce_11,MS. Douce 11,Douce,,MS_Douce_11,,tei:extent,iii + 290 leaves 4.125 3.125 98 74 53 37,290,98,98,98,74,74,74,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,53,37,37,37,mm,,,,,,,,,,,,
MS_Douce_110_measure_1,manuscript_4488,MS_Douce_110,MS. Douce 110,Douce,,MS_Douce_110,,tei:extent,ii + 90 fols. 215 140,,215,215,215,140,140,140,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_110_measure_2,manuscript_4488,MS_Douce_110,MS. Douce 110,Douce,,MS_Douce_110,,tei:layout,"1 col., 20 lines, 137 80",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,20,20,20,137,137,137,80,80,80,mm,,,,,,,,,,,,
MS_Douce_111_measure_1,manuscript_4489,MS_Douce_111,MS. Douce 111,Douce,,MS_Douce_111,,tei:extent,i + 11 leaves 95.875,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_112_measure_2,manuscript_4490,MS_Douce_112,MS. Douce 112,Douce,,MS_Douce_112,,tei:layout,18 lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,18,18,18,,,,,,,,,,,,,,,,,,,
MS_Douce_112_measure_1,manuscript_4490,MS_Douce_112,MS. Douce 112,Douce,,MS_Douce_112,,tei:extent,i + 170 + 4 + iii fol. 205 140 103 71,,205,205,205,140,140,140,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,103,103,71,71,71,mm,,,,,,,,,,,,
MS_Douce_113_measure_1,manuscript_4491,MS_Douce_113,MS. Douce 113,Douce,,MS_Douce_113,,tei:extent,"iii + 472 leaves, in double columns 96.375",472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_114_measure_1,manuscript_4492,MS_Douce_114,MS. Douce 114,Douce,,MS_Douce_114,,tei:extent,ii + 152 leaves 96.625,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_115_measure_1,manuscript_4493,MS_Douce_115,MS. Douce 115,Douce,,MS_Douce_115,,tei:extent,ii + 73 leaves 95.5,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_117_measure_1,manuscript_4494,MS_Douce_117,MS. Douce 117,Douce,,MS_Douce_117,,tei:extent,iii + 48 leaves 9.256.125,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_118_measure_2,manuscript_4495,MS_Douce_118,MS. Douce 118,Douce,,MS_Douce_118,,tei:layout,"Ruled in plummet with double vertical and single horizontal bounding lines, extending the full height of page; a second set of double vertical and horizontal bounding lines in the margins; 18 lines per page; written below the top line; written space: c. 135 91",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,18,18,18,135,135,135,91,91,91,mm,,,,,,,,,,,leadpoint,below
MS_Douce_118_measure_1,manuscript_4495,MS_Douce_118,MS. Douce 118,Douce,,MS_Douce_118,,tei:extent,"276 leaves c. 227 152 Leaves were trimmed in rebinding, occasionally causing the loss of text and decoration.",,227,227,227,152,152,152,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_119_measure_2,manuscript_4496,MS_Douce_119,MS. Douce 119,Douce,,MS_Douce_119,,tei:layout,"Written space Ruled in leadpoint, occasionally with ruling for running-heads at top and bottom. c. 36–42 long lines, varying in different sections of the manuscript, as follows: fols. 1b-7: 42 lines, written above top line; fols. 8–24: 37 lines, written above top line; fols. 25–31: 36 lines, written below top line; fols. 32–37: 37 lines, written above top line; fols. 38–45: 37 lines, written mostly above top line; fols. 46–53: 39 lines, written above top line; fols. 54–65: 36–40 lines, written above top line; fols. 66–69: 38–9 lines, written above top line.170–80 120",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,36 42,42,36,170–80,180,170,120,120,120,mm,,,,,,,,,,,,
MS_Douce_119_measure_1,manuscript_4496,MS_Douce_119,MS. Douce 119,Douce,,MS_Douce_119,,tei:extent,"i + 71 (foliated 1a, 1b, 2–70) + 1 (fol. 71, former pastedown) + i 230 160",,230,230,230,160,160,160,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_12_measure_2,manuscript_4497,MS_Douce_12,MS. Douce 12,Douce,,MS_Douce_12,,tei:layout,12 long lines.,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,,,
MS_Douce_12_measure_1,manuscript_4497,MS_Douce_12,MS. Douce 12,Douce,,MS_Douce_12,,tei:extent,i + 217 leaves 4.25 3.25 98 72 50 38,217,98,98,98,72,72,72,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,38,38,38,mm,,,,,,,,,,,,
MS_Douce_120_measure_1,manuscript_4498,MS_Douce_120,MS. Douce 120,Douce,,MS_Douce_120,,tei:extent,iii + 65 leaves 9.256.75,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_121_measure_1,manuscript_4499,MS_Douce_121,MS. Douce 121,Douce,,MS_Douce_121,,tei:extent,160 leaves 9.3756.125,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_122_measure_1,manuscript_4500,MS_Douce_122,MS. Douce 122,Douce,,MS_Douce_122,,tei:extent,348 leaves 8.6256,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_125_measure_1,manuscript_4501,MS_Douce_125,MS. Douce 125,Douce,,MS_Douce_125,,tei:extent,vi + 74 pages 9.58.5,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_126_measure_1,manuscript_4502,MS_Douce_126,MS. Douce 126,Douce,,MS_Douce_126,,tei:extent,"iii + 99 leaves, in double columns 9.57",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_127_measure_1,manuscript_4503,MS_Douce_127,MS. Douce 127,Douce,,MS_Douce_127,,tei:extent,161 leaves c. 228 145,,228,228,228,145,145,145,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_127_measure_2,manuscript_4503,MS_Douce_127,MS. Douce 127,Douce,,MS_Douce_127,,tei:layout,"Ruled in hard point with pairs of vertical bounding lines, extending the full height of page; written above the top line; 20 lines per page; written space: c. 140–144 70–75",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,20,20,20,c. 140–144,144,140, 70–75,75,70,mm,,,,,,,,,,,,
MS_Douce_13_measure_1,manuscript_4506,MS_Douce_13,MS. Douce 13,Douce,,MS_Douce_13,,tei:extent,65 leaves 4.53.125,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_130_measure_2,manuscript_4507,MS_Douce_130,MS. Douce 130,Douce,,MS_Douce_130,,tei:layout,"1 col., 27 lines, 160 115",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,27,27,27,160,160,160,115,115,115,mm,,,,,,,,,,,,
MS_Douce_130_measure_1,manuscript_4507,MS_Douce_130,MS. Douce 130,Douce,,MS_Douce_130,,tei:extent,i + 24 + i fols. 245 183,,245,245,245,183,183,183,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_131_measure_2,manuscript_4508,MS_Douce_131,MS. Douce 131,Douce,,MS_Douce_131,,tei:layout,"The ruling was almost certainly freshened up (by William Bendlowes?), obliterating the original ruling. The present ruling in brown ink seems in many cases to go over the decorated initials (e.g. fols. 8v, 10r, 11r, 11v, 12r, 118r, 124v, etc.). Ruled in brown ink usually with double vertical and horizontal bounding lines, extending the full height and width of page; written below the top line; 22 lines per page; written space: c. 170 105",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,22,22,22,170,170,170,105,105,105,mm,,,,,,,,,,,,
MS_Douce_131_measure_1,manuscript_4508,MS_Douce_131,MS. Douce 131,Douce,,MS_Douce_131,,tei:extent,"148 leaves c. 234 155 Leaves were trimmed in the 16th-century rebinding, frequently causing the loss of decoration.",,234,234,234,155,155,155,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_132_measure_3,manuscript_4509,MS_Douce_132,MS. Douce 132,Douce,,MS_Douce_132-part2,,tei:layout,"Fols. 63-81: 2 cols., 45 lines, column space 190 50",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,190,190,190,50,50,50,mm,45,45,45,,,,,,,,,,,,,,,,,,,
MS_Douce_132_measure_1,manuscript_4509,MS_Douce_132,MS. Douce 132,Douce,,MS_Douce_132,,tei:extent,82 fols. 230 167,,230,230,230,167,167,167,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_132_measure_2,manuscript_4509,MS_Douce_132,MS. Douce 132,Douce,,MS_Douce_132-part1,,tei:layout,"2 cols., 35 lines, column space c. 160 50",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,160,160,160,50,50,50,mm,35,35,35,,,,,,,,,,,,,,,,,,,
MS_Douce_133_measure_2,manuscript_4510,MS_Douce_133,MS. Douce 133,Douce,,MS_Douce_133,,tei:layout,"1 col., c. 19-31 lines, 155-170 85-100",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,19 31,31,19,155-170,170,155,85-100,100,85,mm,,,,,,,,,,,,
MS_Douce_133_measure_1,manuscript_4510,MS_Douce_133,MS. Douce 133,Douce,,MS_Douce_133,,tei:extent,193 + iii fols. 215 150,,215,215,215,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_134_measure_1,manuscript_4511,MS_Douce_134,MS. Douce 134,Douce,,MS_Douce_134,,tei:extent,v + 166 leaves c. 240 170,,240,240,240,170,170,170,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_135_measure_2,manuscript_4512,MS_Douce_135,MS. Douce 135,Douce,,MS_Douce_135,,tei:layout,24 long lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,24,24,24,,,,,,,,,,,,,,,,,,,
MS_Douce_135_measure_1,manuscript_4512,MS_Douce_135,MS. Douce 135,Douce,,MS_Douce_135,,tei:extent,i + 103 leaves 9.875 6.625 233 150 135 78,103,233,233,233,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,135,135,78,78,78,mm,,,,,,,,,,,,
MS_Douce_136_measure_1,manuscript_4513,MS_Douce_136,MS. Douce 136,Douce,,MS_Douce_136,,tei:extent,ii (modern paper endleaves) + IV (medieval parchment endleaves of manuscript waste) + 120 + II (medieval parchment endleaves) 240 170,,240,240,240,170,170,170,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_136_measure_2,manuscript_4513,MS_Douce_136,MS. Douce 136,Douce,,MS_Douce_136,,tei:layout,Fols. vi r - 87v: 27 long lines; ruled in leadpoint; ruled space ; above top line. Elsewhere variable.155 95,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,27,27,27,,,,,,,,,,,155,155,155,95,95,95,mm,,
MS_Douce_138_measure_1,manuscript_4515,MS_Douce_138,MS. Douce 138,Douce,,MS_Douce_138,,tei:extent,ii + 283 leaves 107.125,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_14_measure_2,manuscript_4517,MS_Douce_14,MS. Douce 14,Douce,,MS_Douce_14,,tei:layout,14 long lines.,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,14,14,14,,,,,,,,,,,,,,,,,,,
MS_Douce_14_measure_1,manuscript_4517,MS_Douce_14,MS. Douce 14,Douce,,MS_Douce_14,,tei:extent,iii + 233 leaves 4.5 3.25 104 72 48 33,233,104,104,104,72,72,72,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,33,33,33,mm,,,,,,,,,,,,
MS_Douce_140_measure_2,manuscript_4518,MS_Douce_140,MS. Douce 140,Douce,,MS_Douce_140,,tei:layout,"1 col., , 25–9 lines.c. 170 130–140",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,25 29,29,25,170,170,170,130–140,140,130,mm,,,,,,,,,,,,
MS_Douce_140_measure_1,manuscript_4518,MS_Douce_140,MS. Douce 140,Douce,,MS_Douce_140,,tei:extent,150 fols. 240 178,,240,240,240,178,178,178,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_141_measure_1,manuscript_4519,MS_Douce_141,MS. Douce 141,Douce,,MS_Douce_141,,tei:extent,"v + 153 leaves, not counting the interleaves 106.75",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_142_measure_1,manuscript_4520,MS_Douce_142,MS. Douce 142,Douce,,MS_Douce_142,,tei:extent,i + 127 leaves 9.8757.125,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_144_measure_2,manuscript_4521,MS_Douce_144,MS. Douce 144,Douce,,MS_Douce_144,,tei:layout,"1 col., 14 lines, 100-117 70",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,14,14,14,100-117,117,100,70,70,70,mm,,,,,,,,,,,,
MS_Douce_144_measure_1,manuscript_4521,MS_Douce_144,MS. Douce 144,Douce,,MS_Douce_144,,tei:extent,140 fols. 216 163,,216,216,216,163,163,163,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_145_measure_1,manuscript_4522,MS_Douce_145,MS. Douce 145,Douce,,MS_Douce_145,,tei:extent,i + 153 leaves 9.8756.75,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_146_measure_1,manuscript_4523,MS_Douce_146,MS. Douce 146,Douce,,MS_Douce_146,,tei:extent,154 leaves 10.1256.375,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
