measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,layout or extent,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Douce_148_measure_1,manuscript_4525,MS_Douce_148,MS. Douce 148,Douce,,MS_Douce_148,,tei:extent,+ 338 leaves 10.57.875,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_149_measure_1,manuscript_4526,MS_Douce_149,MS. Douce 149,Douce,,MS_Douce_149,,tei:extent,"ii + 114 leaves, in double columns 10.1257",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_15_measure_1,manuscript_4527,MS_Douce_15,MS. Douce 15,Douce,,MS_Douce_15,,tei:extent,141 leaves 4.6253.375,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_150_measure_1,manuscript_4528,MS_Douce_150,MS. Douce 150,Douce,,MS_Douce_150,,tei:extent,"iv + 124 leaves, in double columns 107",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_151_measure_1,manuscript_4529,MS_Douce_151,MS. Douce 151,Douce,,MS_Douce_151,,tei:extent,vii + 90 leaves 107.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_152_measure_1,manuscript_4530,MS_Douce_152,MS. Douce 152,Douce,,MS_Douce_152,,tei:extent,vi + 89 leaves 10 7.25 245 175 135 85,89,245,245,245,175,175,175,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,135,135,85,85,85,mm,,,,,,,,,,,,
MS_Douce_152_measure_2,manuscript_4530,MS_Douce_152,MS. Douce 152,Douce,,MS_Douce_152,,tei:layout,20 long lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,20,20,20,,,,,,,,,,,,,,,,,,,
MS_Douce_153_measure_1,manuscript_4531,MS_Douce_153,MS. Douce 153,Douce,,MS_Douce_153,,tei:extent,ii + 173 leaves 10.1256.75,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_154_measure_2,manuscript_4532,MS_Douce_154,MS. Douce 154,Douce,,MS_Douce_154,,tei:layout,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_154_measure_1,manuscript_4532,MS_Douce_154,MS. Douce 154,Douce,,MS_Douce_154,,tei:extent,ii + 124 leaves 10.257.5,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_156_measure_1,manuscript_4533,MS_Douce_156,MS. Douce 156,Douce,,MS_Douce_156,,tei:extent,ii + 176 pages 10.25 6.5,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_157_measure_1,manuscript_4534,MS_Douce_157,MS. Douce 157,Douce,,MS_Douce_157,,tei:extent,xiii + 119 leaves 10.257.375,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_158_measure_1,manuscript_4535,MS_Douce_158,MS. Douce 158,Douce,,MS_Douce_158,,tei:extent,iii + 101 leaves 10.257.25,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_159_measure_1,manuscript_4536,MS_Douce_159,MS. Douce 159,Douce,,MS_Douce_159,,tei:extent,iii + 51 leaves 10.25 7.625,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_16_measure_1,manuscript_4537,MS_Douce_16,MS. Douce 16,Douce,,MS_Douce_16,,tei:extent,236 leaves 4.753.5,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_160_measure_1,manuscript_4538,MS_Douce_160,MS. Douce 160,Douce,,MS_Douce_160,,tei:extent,16 leaves 10.256.875,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_162_measure_1,manuscript_4539,MS_Douce_162,MS. Douce 162,Douce,,MS_Douce_162,,tei:extent,"ii + 102 leaves, in double columns 10.6257.75",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_165_measure_1,manuscript_4540,MS_Douce_165,MS. Douce 165,Douce,,MS_Douce_165,,tei:extent,vi + 252 leaves 10.3757,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_167_measure_1,manuscript_4541,MS_Douce_167,MS. Douce 167,Douce,,MS_Douce_167,,tei:extent,"iv + 15 leaves, in double columns 10.57.625",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_168_measure_1,manuscript_4542,MS_Douce_168,MS. Douce 168,Douce,,MS_Douce_168,,tei:extent,iv + 83 leaves 11.8758.125,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_169_measure_1,manuscript_4543,MS_Douce_169,MS. Douce 169,Douce,,MS_Douce_169,,tei:extent,"iv + 52 leaves, in double columns 128.875",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_17_measure_1,manuscript_4544,MS_Douce_17,MS. Douce 17,Douce,,MS_Douce_17,,tei:extent,iii + 240 leaves 4.75 3.25,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_174_measure_1,manuscript_4545,MS_Douce_174,MS. Douce 174,Douce,,MS_Douce_174,,tei:extent,ii + 164 leaves 11.875 8.375 288 193,164,288,288,288,193,193,193,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_174_measure_2,manuscript_4545,MS_Douce_174,MS. Douce 174,Douce,,MS_Douce_174,,tei:layout,"1 col., 28 lines, written space 220/5 120",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,28,28,28,220/5,220/5,220/5,120,120,120,mm,,,,,,,,,,,,
MS_Douce_176_measure_1,manuscript_4546,MS_Douce_176,MS. Douce 176,Douce,,MS_Douce_176,,tei:extent,ii + 127 + ii fol. 290 195 220 155,,290,290,290,195,195,195,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,220,220,155,155,155,mm,,,,,,,,,,,,
MS_Douce_176_measure_2,manuscript_4546,MS_Douce_176,MS. Douce 176,Douce,,MS_Douce_176,,tei:layout,28 lines.,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,28,28,28,,,,,,,,,,,,,,,,,,,
MS_Douce_177_measure_1,manuscript_4547,MS_Douce_177,MS. Douce 177,Douce,,MS_Douce_177,,tei:extent,"ii + 458 leaves, in double columns 13.12510.5",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
